criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.1.1,1,header > div > div > a > img,ucl-logo--primary.svg,"alt=""UCL Logo""",dentro de un enlace: el alt debe describir el DESTINO,304x148,REQUIERE JUICIO,,
1.1.1,2,#hero > div:nth-of-type(2) > div > picture > img,200hero-wide.jpg.jpg?itok=WTFAkUIM,"alt=""Illuminated portico for UCL 200 event""",,1280x625,REQUIERE JUICIO,,
1.1.1,3,div > div:nth-of-type(1) > div:nth-of-type(1) > picture > img,ucl-open-days-info.jpg.jpg?itok=KR4tphCV,"alt=""UCL open days info stands""",,461x308,REQUIERE JUICIO,,
1.1.1,4,div > div:nth-of-type(1) > div:nth-of-type(1) > picture > img,meet_the_ssw_team_1.png.jpg?itok=6gMdp8lK,"alt=""One-to-one meeting student and adviser""",,461x308,REQUIERE JUICIO,,
1.1.1,5,div > div:nth-of-type(1) > div > div:nth-of-type(1) > img,N10-7801-0052_1P8A9880.jpg.webp?itok=QdqPUp49,"alt=""UCL Professor visits former student and Prime Minister on A Level Results day""",,264x176,REQUIERE JUICIO,,
1.1.1,6,div > div:nth-of-type(2) > div > div:nth-of-type(1) > img,Jogging20image.jpg.webp?itok=DbRDr5vL,"alt=""Being more active reduces cancer risk""",,264x176,REQUIERE JUICIO,,
1.1.1,7,div > div:nth-of-type(3) > div > div:nth-of-type(1) > img,basil_spence_-_design_for_the_porch_of_the_cathedral_sm.jpg.,"alt=""Exhibition examines origins of Coventry Cathedral’s architectural modernism""",,264x176,REQUIERE JUICIO,,
1.1.1,8,div > div:nth-of-type(1) > div > picture > img,UCL-portico-feb26.jpg.jpg?itok=l93wVb3L,"alt=""UCL Portico Feb 26""",,496x331,REQUIERE JUICIO,,
1.1.1,9,div > div:nth-of-type(1) > div > div:nth-of-type(1) > img,als_neurons.jpg.webp?itok=Sn9LdkDp,"alt=""Novel treatment for motor neurone disease to be trialled in humans""",,264x176,REQUIERE JUICIO,,
1.1.1,10,div > div:nth-of-type(2) > div > div:nth-of-type(1) > img,solar_window_cropped.png.webp?itok=6BQS2Wtk,"alt=""Solar windows could harvest energy from sun and indoor light""",,264x176,REQUIERE JUICIO,,
1.1.1,11,div > div:nth-of-type(3) > div > div:nth-of-type(1) > img,katie-tinkler-lupus-patient.jpg.webp?itok=Qkiw0j3M,"alt=""CAR T-cell therapy shows early promise in severe lupus""",,264x176,REQUIERE JUICIO,,
1.1.1,12,div > div:nth-of-type(1) > div > picture > img,Bazaar-and-Fete-1909-UC-Special-Collections.jpg.jpg?itok=jjB,"alt=""UCL portico Bazaar and Fete 1909""",,496x331,REQUIERE JUICIO,,
