criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.1.1,1,div > div > h1 > a > img,logo-berkeley.svg?v=3,"alt=""UC Berkeley home""",dentro de un enlace: el alt debe describir el DESTINO,225x42,REQUIERE JUICIO,,
1.1.1,2,div > div:nth-of-type(1) > div:nth-of-type(1) > div > img,afo_235b-scaled-1.jpg,"alt=""A photo of a researcher in a white lab coat and hairnet sitting at a desk looking into a l""",,369x246,REQUIERE JUICIO,,
1.1.1,3,div > div:nth-of-type(2) > div:nth-of-type(1) > div > img,83A5230-scaled-1.jpg,"alt=""A scientist wearing a blue lab coat that reads """,,369x246,REQUIERE JUICIO,,
1.1.1,4,div > div:nth-of-type(3) > div:nth-of-type(1) > div > img,20220930_OmarYaghi_bhs_004-scaled-1.jpg,"alt=""UC Berkeley professor Omar Yaghi sits at a desk in front of a chemical model.""",,369x246,REQUIERE JUICIO,,
1.1.1,5,div:nth-of-type(1) > a > div:nth-of-type(1) > div > img,Western_Drought_23075625853468_BN-1024x585.jpg,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,6,div:nth-of-type(2) > a > div:nth-of-type(1) > div > img,couples_politics_illus_7x4-1024x585.jpg,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,7,div:nth-of-type(3) > a > div:nth-of-type(1) > div > img,PA_Opposition_to_Data_Center_in_Union_County_26188781855909_,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,8,div:nth-of-type(4) > a > div:nth-of-type(1) > div > img,ROTC_Shiraishi_group_patrol_horiz-1024x585.jpg,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,9,div:nth-of-type(5) > a > div:nth-of-type(1) > div > img,etruscan-exhibit-00251-1024x740.jpg,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,10,div:nth-of-type(6) > a > div:nth-of-type(1) > div > img,Self-portrait-Badlands-1981_1200--1024x585.jpg,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,370x211,REQUIERE JUICIO,,
1.1.1,11,div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(1) > div > img,231011UCB2153-scaled-1.jpg,"alt="""" (decorativa)",,569x379,REQUIERE JUICIO,,
1.1.1,12,div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(1) > div > img,File1656.jpg,"alt="""" (decorativa)",,569x379,REQUIERE JUICIO,,
1.1.1,13,div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(1) > div > img,DSC_3339-scaled-1.jpg,"alt=""students congregate on a lawn in groups and one holds a large flag that says Cal. The Camp""",,369x246,REQUIERE JUICIO,,
1.1.1,14,div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(1) > div > img,DSC_2595-2-scaled-1.jpg,"alt=""interior of a large law library with many books and large tables for studying""",,369x246,REQUIERE JUICIO,,
1.1.1,15,div:nth-of-type(2) > div:nth-of-type(3) > div:nth-of-type(1) > div > img,DSC_1135.jpg,"alt=""Long exposure image with a focused Sather Gate and blurred individuals walking through it""",,369x246,REQUIERE JUICIO,,
1.1.1,16,div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(1) > div > img,PPdormviewFromBowditchDwight750.jpg,"alt="""" (decorativa)",,369x246,REQUIERE JUICIO,,
1.1.1,17,div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(1) > div > img,MemStadiumThumbnail.jpg,"alt="""" (decorativa)",,369x246,REQUIERE JUICIO,,
1.1.1,18,div:nth-of-type(2) > div:nth-of-type(3) > div:nth-of-type(1) > div > img,aileycamp-05-750.jpg,"alt="""" (decorativa)",,369x246,REQUIERE JUICIO,,
1.1.1,19,#content > div:nth-of-type(9) > div:nth-of-type(1) > img,231011UCB2153-scaled-1.jpg,"alt="""" (decorativa)",,1280x325,REQUIERE JUICIO,,
1.1.1,20,#site-footer > div > div:nth-of-type(1) > a > img,logo-berkeley-gold.svg?v=3,"alt=""UC Berkeley""",dentro de un enlace: el alt debe describir el DESTINO,200x37,REQUIERE JUICIO,,
1.4.3,1,#take-a-tour-title,Take a tour,13.65:1  (umbral 3:1),36pt negrita [texto grande],"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,2,body > nav > ul > li:nth-of-type(1) > a,Skip to content,13.65:1  (umbral 4.5:1),12pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,3,body > nav > ul > li:nth-of-type(3) > a,Skip to main menu,13.65:1  (umbral 4.5:1),12pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
